uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
595,https://www.naukri.com/job-listings-Manager-HR-Operations-Internet-online-TalPro-Delhi-NCR-5-to-10-years-250216900042?src=jobsearchDesk&sid=14965021422376&xp=16,Manager - HR Operations - Internet/online,Manager - HR Operations - Internet/online,TalPro,Delhi NCR,5-10 yrs,HR- HR strategy- HR Operations- On - boarding/ Induction...,Responsible for implementing and coordinating all Human Resources programs and services for Mindlance US ...,Not disclosed,3
596,https://www.naukri.com/job-listings-HR-Manager-Compensation-Benefits-Specialist-Internet-online-TalPro-Delhi-NCR-5-to-10-years-250216900026?src=jobsearchDesk&sid=14965021422376&xp=17,HR Manager - Compensation & Benefits Specialist - Internet/online,HR Manager - Compensation & Benefits Specialist - Internet/online,TalPro,Delhi NCR,5-10 yrs,HR- Compensation & Benefits- Compensation and Rewards- HR Compliance...,We are looking for a Compensation and Benefits Specialist to oversee and administer the employees ...,Not disclosed,3
597,https://www.naukri.com/job-listings-HR-Business-Partner-Media-Premier-B-school-TalPro-Delhi-NCR-8-to-12-years-241016900849?src=jobsearchDesk&sid=14965021422376&xp=18,HR Business Partner - Media - Premier B-school,HR Business Partner - Media - Premier B-school,TalPro,Delhi NCR,8-12 yrs,Employee Engagement- HR Processes- Recruitment- Business Partnering...,Responsibilities:  - Acts as a single point of the contact for the employees and business ...,Not disclosed,3
598,https://www.naukri.com/job-listings-Senior-Manager-HR-Compensation-Benefits-Anil-Chandiramani-and-Associates-Mumbai-12-to-16-years-230517002308?src=jobsearchDesk&sid=14965021422376&xp=19,Senior Manager HR - Compensation & Benefits,Senior Manager HR - Compensation & Benefits,Anil Chandiramani and Associates,Mumbai,12-16 yrs,Compensation & Benefits- Compensation and Benefits- Comp and Ben...,Our client is an American Software major having ODCs in Pune & Mumbai. It is about 1500+ strong in ...,2500000 - 3250000 P.A. Largely fixed,6
599,https://www.naukri.com/job-listings-HR-Manager-Talent-Engagement-Internet-online-TalPro-Delhi-NCR-5-to-10-years-230217900329?src=jobsearchDesk&sid=14965021422376&xp=20,HR Manager - Talent Engagement - Internet/online,HR Manager - Talent Engagement - Internet/online,TalPro,Delhi NCR,5-10 yrs,HR Analytics- Recruitment- Talent Engagement- Human Resource Management- HR...,Leadership responsibilities: Focus on growing the practice by ensuring the right strategies and actions ...,Not disclosed,5
600,https://www.naukri.com/job-listings-Manager-HR-Operations-Internet-Online-TalPro-Delhi-NCR-5-to-10-years-230217900310?src=jobsearchDesk&sid=14965021422376&xp=21,Manager - HR Operations - Internet / Online,Manager - HR Operations - Internet / Online,TalPro,Delhi NCR,5-10 yrs,Business HR- Recruitment- Human Resource Management- Employee Engagement...,Responsible for implementing and coordinating all Human Resources programs and services for Mindlance US ...,Not disclosed,5
601,https://www.naukri.com/job-listings-HR-Manager-Compensation-Benefits-Specialist-Internet-online-TalPro-Delhi-NCR-5-to-10-years-230217900309?src=jobsearchDesk&sid=14965021422376&xp=22,HR Manager - Compensation & Benefits Specialist - Internet/online,HR Manager - Compensation & Benefits Specialist - Internet/online,TalPro,Delhi NCR,5-10 yrs,Compensation- Benefits- HR- Rewards- Human Resource Management- Personnel...,We are looking for a Compensation and Benefits Specialist to oversee and administer the employees ...,Not disclosed,5
602,https://www.naukri.com/job-listings-HR-Manager-Talent-Engagement-Internet-online-premier-Institute-TalPro-Delhi-NCR-5-to-10-years-211216901070?src=jobsearchDesk&sid=14965021422376&xp=23,HR Manager - Talent Engagement - Internet/online-premier Institute,HR Manager - Talent Engagement - Internet/online-premier Institute,TalPro,Delhi NCR,5-10 yrs,Recruitment- HR- Talent Engagement- Global Sales- Human Resource Management...,Leadership responsibilities: Focus on growing the practice by ensuring the right strategies and actions ...,Not disclosed,3
603,https://www.naukri.com/job-listings-HR-Manager-Compensation-Benefits-Specialist-TalPro-Delhi-NCR-5-to-10-years-201216900472?src=jobsearchDesk&sid=14965021422376&xp=24,HR Manager - Compensation & Benefits Specialist,HR Manager - Compensation & Benefits Specialist,TalPro,Delhi NCR,5-10 yrs,HR- Job Evaluation- Compensation- Benefits- HRIS- Job Analysis...,HR Manager - Compensation & Benefits Specialist - Internet/Online   Responsibilities ...,Not disclosed,3
604,https://www.naukri.com/job-listings-Openings-for-Hr-Recruiter-in-Chennai-Need-Excellent-Communication-Square-One-Infosolutions-Private-Limited-Chennai-0-to-1-years-200517004435?src=jobsearchDesk&sid=14965021422376&xp=25,Openings for Hr Recruiter job in Chennai  Need Excellent Communication,Openings for Hr Recruiter job in Chennai  Need Excellent Communication,Square One Infosolutions Private Limited,Chennai,0-1 yrs,HR- Recruitment- Excellent communication- human resource,Job Description Â  Â   Any candidate with excellent communication can ...,150000 - 175000 P.A.,2
605,https://www.naukri.com/job-listings-HR-Manager-Compensation-Benefits-Specialist-Internet-Online-TalPro-Delhi-NCR-5-to-10-years-190516901242?src=jobsearchDesk&sid=14965021422376&xp=26,HR Manager - Compensation & Benefits Specialist - Internet / Online,HR Manager - Compensation & Benefits Specialist - Internet / Online,TalPro,Delhi NCR,5-10 yrs,Compensation- Benefits- Job Analysis- HR- Salary- Human Resource Management...,Responsibilities  Define a fair- equitable and competitive total compensation package that fits ...,Not disclosed,3
606,https://www.naukri.com/job-listings-HR-Manager-Talent-Engagement-Internet-Online-TalPro-Delhi-NCR-5-to-10-years-190516901226?src=jobsearchDesk&sid=14965021422376&xp=27,HR Manager - Talent Engagement - Internet / Online,HR Manager - Talent Engagement - Internet / Online,TalPro,Delhi NCR,5-10 yrs,HR- Marketing- Recruitment- Sales- Business Development- Talent Engagement-...,Leadership responsibilities: Focus on growing the practice by ensuring the right strategies and actions ...,Not disclosed,3
607,https://www.naukri.com/job-listings-Manager-HR-Operations-Internet-Online-TalPro-Delhi-NCR-5-to-10-years-190516901225?src=jobsearchDesk&sid=14965021422376&xp=28,Manager - HR Operations - Internet / Online,Manager - HR Operations - Internet / Online,TalPro,Delhi NCR,5-10 yrs,Business HR- Recruitment- Employee Engagement- Employee Relations...,Responsible for implementing and coordinating all Human Resources programs and services for Mindlance US ...,Not disclosed,3
608,https://www.naukri.com/job-listings-Manager-Sr-Manager-HR-Business-Partner-for-Global-IT-MNC-Search-Light-Consultants-Hyderabad-10-to-16-years-190417003895?src=jobsearchDesk&sid=14965021422376&xp=29,Manager / Sr Manager - HR Business Partner for Global IT MNC,Manager / Sr Manager - HR Business Partner for Global IT MNC,Search Light Consultants,Hyderabad,10-16 yrs,HR Business Partner- Deputy Manager HR,The HR Business Partner Lead is responsible for partnering with business. He/She would be responsible ...,Not disclosed,6
609,https://www.naukri.com/job-listings-HR-Manager-Talent-Engagement-Internet-Online-Premier-Institute-TalPro-Delhi-NCR-5-to-10-years-181016900660?src=jobsearchDesk&sid=14965021422376&xp=30,HR Manager - Talent Engagement - Internet/ Online- Premier Institute,HR Manager - Talent Engagement - Internet/ Online- Premier Institute,TalPro,Delhi NCR,5-10 yrs,HR Manager- HR- Talent Engagement- Business Process Re - engineering...,Leadership responsibilities: Focus on growing the practice by ensuring the right strategies and actions ...,Not disclosed,3
610,https://www.naukri.com/job-listings-Manager-HR-Operations-Internet-Online-TalPro-Delhi-NCR-5-to-10-years-181016900656?src=jobsearchDesk&sid=14965021422376&xp=31,Manager - HR Operations - Internet/ Online,Manager - HR Operations - Internet/ Online,TalPro,Delhi NCR,5-10 yrs,HR Operations- HR Operations Manager- employee relations- labor relations...,Responsible for implementing and coordinating all Human Resources programs and services for Mindlance US ...,Not disclosed,3
611,https://www.naukri.com/job-listings-HR-Manager-Compensation-Benefits-Specialist-Internet-Online-TalPro-Delhi-NCR-5-to-10-years-181016900634?src=jobsearchDesk&sid=14965021422376&xp=32,HR Manager - Compensation & Benefits Specialist - Internet/ Online,HR Manager - Compensation & Benefits Specialist - Internet/ Online,TalPro,Delhi NCR,5-10 yrs,HR Manager- HR- HRIS- Compensation and Benefits- HR Compliance...,We are looking for a Compensation and Benefits Specialist to oversee and administer the employees ...,Not disclosed,3
612,https://www.naukri.com/job-listings-HR-Manager-female-Only-Sapwood-Ventures-Pvt-Ltd-Bengaluru-M-G-Road-5-to-10-years-170517008866?src=jobsearchDesk&sid=14965021422376&xp=33,HR Manager(female Only),HR Manager(female Only),Sapwood Ventures Pvt. Ltd.,Bengaluru(M.G Road),5-10 yrs,HR- PF- Gratuity- Bonus- Payroll- Grievance Handling- ESI...,Owner of the HR Function   Staff Liasoning on a regular basis   Work in co-ordination ...,Not disclosed,5
613,https://www.naukri.com/job-listings-Opening-for-Manager-HR-Global-Hunt-India-Pvt-Ltd-Gurgaon-5-to-6-years-170517007387?src=jobsearchDesk&sid=14965021422376&xp=34,Opening for Manager HR,Opening for Manager HR,Global Hunt India Pvt. Ltd.,Gurgaon,5-6 yrs,HR Policies- Employee Engagement- Talent Management...,  Provide full range of HR Generalist support for a business vertical to Client ...,Not disclosed,2
614,https://www.naukri.com/job-listings-Freshers-can-Apply-for-HR-Recruiter-Position-Bhubaneshwar-2Coms-Consulting-Pvt-Ltd-Bhubaneshwar-0-to-4-years-170517006896?src=jobsearchDesk&sid=14965021422376&xp=35,Freshers can Apply for HR Recruiter Position- Bhubaneshwar,Freshers can Apply for HR Recruiter Position- Bhubaneshwar,2Coms Consulting Pvt Ltd.,Bhubaneshwar,0-4 yrs,Recruitment- HR- Sourcing- Non It- Social Media, ,50000 - 200000 P.A. +incentive,2
615,https://www.naukri.com/job-listings-HR-Business-Partner-Resource-Solutions-India-Pvt-Ltd-Delhi-NCR-Sector-62-Noida-Noida-5-to-10-years-160517006146?src=jobsearchDesk&sid=14965021422376&xp=36,HR Business Partner,HR Business Partner,Resource Solutions India Pvt Ltd,Delhi NCR(Sector-62 Noida)- Noida,5-10 yrs,HRBP- Business Partner- HR and Recruitment and IR- HR Business Partner...,About Barclays Barclays is a transatlantic consumer- corporate and investment bank offering products ...,Not disclosed,3
616,https://www.naukri.com/job-listings-HR-Business-Partner-Media-TalPro-Delhi-NCR-8-to-12-years-160317900659?src=jobsearchDesk&sid=14965021422376&xp=37,HR Business Partner - Media,HR Business Partner - Media,TalPro,Delhi NCR,8-12 yrs,HR Processes- Recruitment- Employee Engagement- Business Partnering..., Responsibilities   - Acts as a single point of the contact for the employees and ...,Not disclosed,3
617,https://www.naukri.com/job-listings-HR-Executive-Recruitment-Recruitment-Firm-Smart-Source-Faridabad-Smart-Source-Faridabad-0-to-2-years-100517003655?src=jobsearchDesk&sid=14965021422376&xp=38,HR Executive Recruitment - Recruitment Firm( Smart Source) Faridabad,HR Executive Recruitment - Recruitment Firm( Smart Source) Faridabad,Smart Source,Faridabad,0-2 yrs,Recruitment- Shortlisting- Screening- Salary Negotiation- HR Consulting..., 1. Handling end to end ...,90000 - 125000 P.A. Best in the industry,2
618,https://www.naukri.com/job-listings-HR-Manager-Talent-Engagement-Internet-Online-TalPro-Delhi-NCR-5-to-10-years-040316903073?src=jobsearchDesk&sid=14965021422376&xp=39,HR Manager - Talent Engagement - Internet/ Online,HR Manager - Talent Engagement - Internet/ Online,TalPro,Delhi NCR,5-10 yrs,HR Analytics- Recruitment- Sales- Talent Engagement- Marketing...,Leadership responsibilities: Focus on growing the practice by ensuring the right strategies and actions ...,Not disclosed,3
619,https://www.naukri.com/job-listings-HR-Executive-ICONMA-LLC-Hyderabad-Begumpet-2-to-5-years-030317008639?src=jobsearchDesk&sid=14965021422376&xp=40,HR Executive,HR Executive,ICONMA LLC,Hyderabad(Begumpet),2-5 yrs,Recruitment- W2- Sourcing- US Staffing- Salary- Night Shift...,Position: HR-Executive (Night Shift) Location: Hyderabad   Experience : 2-5 yrs. ...,Not disclosed,3
620,https://www.naukri.com/job-listings-Hiring-for-Female-HR-Professionals-ABACUS-Consultants-Jaipur-0-to-5-years-011016003406?src=jobsearchDesk&sid=14965021422376&xp=41,Hiring for Female HR Professionals,Hiring for Female HR Professionals,ABACUS Consultants,Jaipur,0-5 yrs,Recruitment Management- HR- Selection- Performance Management- Hiring- Head...,Team Managers - Handling Team of 3-4 People- Gross Package 3.5 Sr. Executives-         Handling Team ...,175000 - 350000 P.A.,4
621,https://www.naukri.com/job-listings-FADV-first-Advantage-is-Hiring-fre-exp-call-HR-Shruthi-9538804042-The-Factory-Bengaluru-1-to-5-years-010617001540?src=jobsearchDesk&sid=14965021422376&xp=42,FADV (first Advantage is Hiring )fre/exp call HR Shruthi @ 9538804042,FADV (first Advantage is Hiring )fre/exp call HR Shruthi @ 9538804042,The Job Factory,Bengaluru,1-5 yrs,Inbound- Outbound Process- BPO- Hiring- Communication Skills..., ,200000 - 375000 P.A. Good incentives and night shif...,2
622,https://www.naukri.com/job-listings-Rs-hr-Induction-Specialist-Randstad-India-Limited-Bengaluru-4-to-6-years-290517900832?src=jobsearchDesk&sid=14965021422376&xp=43,Rs.hr Induction Specialist,Rs.hr Induction Specialist,Randstad India Limited,Bengaluru,4-6 yrs,ERP- MS Data management- MIS- Reports- HR Policies- Recruitment...,HR Induction      Benefits   Work life Balance       Client Introduction   A ...,Not disclosed,5
623,https://www.naukri.com/job-listings-Senior-Accountant-HR-Admin-Alpha-Talent-Bengaluru-5-to-10-years-190517003790?src=jobsearchDesk&sid=14965021422376&xp=44,Senior Accountant / HR / Admin,Senior Accountant / HR / Admin,Alpha Talent,Bengaluru,5-10 yrs,Accounting- Tally- Project Management- Service Tax- TDS- income tax- HR...,A management consulting firm servicing multinational and Indian clients is looking for a smart- ...,Not disclosed,5
624,https://www.naukri.com/job-listings-Executive-hr-Operations-compliance-Spectrum-Talent-Management-Noida-1-to-4-years-300517001712?src=jobsearchDesk&sid=14965021422376&xp=45,Executive-hr Operations/compliance,Executive-hr Operations/compliance,Spectrum Talent Management,Noida,1-4 yrs,PF- esi- payroll- statutory compliance- leave- attendance- hr ops...,     Dear Candidates  We are hiring for the profile of compliances ...,175000 - 275000 P.A.,4
625,https://www.naukri.com/job-listings-Hiring-for-Business-Development-Manager-hr-hr-Manager-Enexus-Global-Inc-Jalandhar-0-to-5-years-300517006212?src=jobsearchDesk&sid=14965021422376&xp=46,Hiring for Recruiters/ Business Development Manager/hr/hr Manager,Hiring for Recruiters/ Business Development Manager/hr/hr Manager,Enexus Global  Inc.,Jalandhar,0-5 yrs,Business Development Management- Bdm- Cold Calling- Recruitment...,Job description HR Manager/ HR /Admin:-  Assist with HR transactions including compensation and ...,Not disclosed,4
626,https://www.naukri.com/job-listings-Analyst-HR-helpdesk-Process-Ocwen-Financial-Solutions-Pvt-Ltd-Bengaluru-2-to-5-years-230517008601?src=jobsearchDesk&sid=14965021422376&xp=47,Analyst - HR (helpdesk Process),Analyst - HR (helpdesk Process),Ocwen Financial Solutions Pvt. Ltd,Bengaluru,2-5 yrs,HR Processes- HR Operations- HR Policies- helpdesk- query- policies," Key Highlights:  	Will be a part of Implementation of workflow tool like Service now for ...",Not disclosed,3
627,https://www.naukri.com/job-listings-HR-Freelancer-Aspire-Succeed-Human-Resources-Private-Limited-Mumbai-Bengaluru-Pune-5-to-10-years-310517005021?src=jobsearchDesk&sid=14965021422376&xp=48,HR Freelancer,HR Freelancer,Aspire & Succeed Human  Resources Private Limited,Mumbai- Bengaluru- Pune,5-10 yrs,Recruitment- HR- MBA HR- Human resource- hr executive- HR manager...,  HR Freelancer    Responsible for Managing end to end recruitment process for ...,Not disclosed,3
628,https://www.naukri.com/job-listings-Hr-Executive-Mass-Management-Services-Pvt-Ltd-Delhi-NCR-1-to-5-years-300517001785?src=jobsearchDesk&sid=14965021422376&xp=49,Hr Executive,Hr Executive,Mass Management Services Pvt. Ltd,Delhi NCR,1-5 yrs,PF- LWF- HR- Payroll- ESI- ESIC- Professional Tax- Salary Preparation...,Filling of all payroll related documents on monthly basis          Preparing salary inputs reports ...,100000 - 200000 P.A.,4
629,https://www.naukri.com/job-listings-Trainees-Summer-Internship-in-HR-Koregaon-Park-Location-ISS-Facility-Services-India-Pvt-Ltd-Pune-Koregaon-Park-0-to-0-years-290517005401?src=jobsearchDesk&sid=14965021422376&xp=50,Trainees - Summer Internship in HR - Koregaon Park Location,Trainees - Summer Internship in HR - Koregaon Park Location,ISS Facility Services India Pvt. Ltd,Pune(Koregaon Park),0-0 yrs,Internship- HR,Â Looking for 4 Nos Trainees forÂ  Summer Internship to be based at Koregaon Park Location ...,Not disclosed,5
630,https://www.naukri.com/job-listings-Urgent-Opening-for-HR-Executive-Chennai-Location-Magna-Infotech-Chennai-0-to-2-years-270517003608?src=jobsearchDesk&sid=14965021451648&xp=1,Urgent Job Opening for HR Executive @ Chennai Location,Urgent Job Opening for HR Executive @ Chennai Location,Magna Infotech,Chennai,0-2 yrs,HR- Payroll- HR Executive, ,Not disclosed,7
